approach,dossier_id,iou_threshold,precision,recall,f1
GPT-5.5 (vision+text),21390238,0.3,0.9474,0.75,0.8372
GPT-5.5 (vision+text),230911848,0.3,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.3,1.0,0.9667,0.9831
GPT-5.5 (vision+text),12890358,0.3,1.0,0.7333,0.8462
GPT-5.5 (vision+text),4110332,0.5,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,0.5,0.9597,0.847,0.8998
GPT-5.5 (vision+text),9585044,0.5,0.9424,0.8973,0.9193
GPT-5.5 (vision+text),269893775,0.5,0.9444,0.9714,0.9577
GPT-5.5 (vision+text),22324346,0.5,0.9817,0.9554,0.9683
GPT-5.5 (vision+text),32680869,0.5,0.9857,0.9583,0.9718
GPT-5.5 (vision+text),21390238,0.5,0.8421,0.6667,0.7442
GPT-5.5 (vision+text),230911848,0.5,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.5,1.0,0.9667,0.9831
GPT-5.5 (vision+text),12890358,0.5,0.8182,0.6,0.6923
GPT-5.5 (vision+text),4110332,0.7,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,0.7,0.9315,0.8221,0.8733
GPT-5.5 (vision+text),9585044,0.7,0.8993,0.8562,0.8772
GPT-5.5 (vision+text),269893775,0.7,0.9167,0.9429,0.9296
GPT-5.5 (vision+text),22324346,0.7,0.9083,0.8839,0.8959
GPT-5.5 (vision+text),32680869,0.7,0.9286,0.9028,0.9155
GPT-5.5 (vision+text),21390238,0.7,0.6316,0.5,0.5581
GPT-5.5 (vision+text),230911848,0.7,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.7,1.0,0.9667,0.9831
GPT-5.5 (vision+text),12890358,0.7,0.7273,0.5333,0.6154
GPT-5.5 (vision+text),4110332,0.9,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,0.9,0.9274,0.8185,0.8696
GPT-5.5 (vision+text),9585044,0.9,0.8201,0.7808,0.8
GPT-5.5 (vision+text),269893775,0.9,0.8889,0.9143,0.9014
GPT-5.5 (vision+text),22324346,0.9,0.6422,0.625,0.6335
GPT-5.5 (vision+text),32680869,0.9,0.8429,0.8194,0.831
GPT-5.5 (vision+text),21390238,0.9,0.3947,0.3125,0.3488
GPT-5.5 (vision+text),230911848,0.9,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.9,0.9655,0.9333,0.9492
GPT-5.5 (vision+text),12890358,0.9,0.1818,0.1333,0.1538
GPT-5.5 (vision+text),4110332,1.0,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,1.0,0.9234,0.8149,0.8658
GPT-5.5 (vision+text),9585044,1.0,0.5396,0.5137,0.5263
GPT-5.5 (vision+text),269893775,1.0,0.8472,0.8714,0.8592
GPT-5.5 (vision+text),22324346,1.0,0.4312,0.4196,0.4253
GPT-5.5 (vision+text),32680869,1.0,0.3857,0.375,0.3803
GPT-5.5 (vision+text),21390238,1.0,0.2368,0.1875,0.2093
GPT-5.5 (vision+text),230911848,1.0,0.7209,0.7209,0.7209
GPT-5.5 (vision+text),994819,1.0,0.9655,0.9333,0.9492
